nr,fusedX,fusedY,fusedZ,gyroX,gyroY,gyroZ,accX,accY,accZ,q,w,e,r,t,z,u,i,o,p,a,s,d,f,g,h,j,k,l,y
0,1.0534995,-0.6862133,-0.2457974,0.03628397,-0.059621785,-0.04281431,1.8013375,6.2108583,7.6813474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0523326,-0.6870416,-0.2459548,0.09700404,-0.07879654,-0.016182698,1.7726071,6.2910643,6.8373914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0508088,-0.6872155,-0.2458275,-0.058524564,0.03838254,0.0029920614,1.877952,6.277896,6.906823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0509994,-0.6874476,-0.24583961,-0.12989728,0.040513072,-0.041749045,1.8204911,6.2707133,7.2372227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1.055855,-0.6821352,-0.24296393,-0.07024247,-0.009554356,-0.016182698,1.8013375,6.1976905,7.4251676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1.0560222,-0.6823683,-0.24311425,-0.010587663,-0.07453549,-0.015117434,1.8755578,6.2934585,7.330597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1.055929,-0.6826409,-0.24337497,-0.035088744,-0.030859645,-0.023639549,1.9186534,6.3269773,7.3258085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1.0595304,-0.6806307,-0.24250129,-0.06065509,0.04477413,-0.010856376,1.8468274,6.3257804,7.4131966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1.0605583,-0.68066525,-0.24254587,-0.023370836,-0.010619621,-0.030031135,1.8683752,6.265925,7.4814315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1.0648465,-0.68130004,-0.24300246,0.008587097,-0.06281758,-0.035357457,1.7534535,6.238392,7.3760867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1.0655109,-0.681383,-0.24313055,-0.020175043,0.007489874,-0.0119216405,1.8671781,6.1857195,7.330597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1.0685306,-0.68072325,-0.23973927,-0.005261341,0.02346884,-0.009791112,1.7091607,6.2252235,7.415591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1.0688808,-0.6808748,-0.23991674,0.0032607743,-0.009554356,0.001926797,1.8552071,6.2012815,7.307852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1.0703636,-0.68071467,-0.23793235,-0.012718192,0.033056222,-0.0119216405,1.7378912,6.1797338,7.167791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1.0709316,-0.6809783,-0.23781322,-0.041480333,0.053296246,0.010448912,1.712752,6.1976905,7.250391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1.0726212,-0.6791708,-0.2398581,-0.027631894,-0.038316496,8.615326E-4,1.7366941,6.1749454,7.4431243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1.0725982,-0.6795428,-0.23997249,-0.030827688,-0.026598588,0.01470997,1.8133085,6.253954,7.2348285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1.0729059,-0.6796768,-0.23994933,-0.08834291,0.022419022,-0.012992231,1.8121114,6.274305,7.4431243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1.0765924,-0.6741427,-0.2373323,-0.048928127,-0.02125682,-0.0012743226,1.842039,6.218041,7.558046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1.0760177,-0.67439735,-0.23788533,-0.006317551,-0.07025898,-0.010861702,1.9856911,6.218041,7.3174286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1.0790921,-0.67347336,-0.23823242,-0.043601807,0.004309527,-0.023644876,1.8348563,6.218041,7.406014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1.0792943,-0.67370033,-0.23826635,-0.03934075,-0.09476007,-0.037493315,1.8121114,6.2276177,7.4072113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1.0860662,-0.6750106,-0.24835369,-0.019100724,-0.20235178,-0.09608286,1.9006969,6.241983,7.158214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1.0854452,-0.6752629,-0.24836168,-0.107517675,-0.00953891,-0.050276488,1.877952,6.1354413,7.2731357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1.091666,-0.6666182,-0.2433795,-0.14054087,0.020288493,-0.03429752,1.8815433,6.1390324,7.619098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1.0919783,-0.6665135,-0.24350753,-0.045732334,-0.11606535,-0.06519019,1.9485809,6.1354413,7.638252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1.0920324,-0.66673195,-0.24334902,-9.912285E-4,-0.15228434,-0.09608286,1.7857752,6.154595,7.4395328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1.0989707,-0.66806936,-0.24848889,-0.023361782,-0.07984636,-0.05347228,1.8623897,6.0899515,7.3880577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1.0985947,-0.6680836,-0.2486711,-0.055319715,-0.13524011,-0.09821338,1.9713259,6.1150904,7.4826283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1.109567,-0.66631526,-0.25171036,-0.062776566,-0.1597412,-0.09714812,1.700781,6.09474,7.3868604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1.1098504,-0.6660545,-0.25168377,-0.048928127,-0.19489492,-0.090756536,1.9222447,5.9379196,7.516147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1.122157,-0.6684107,-0.26766723,0.023509853,-0.43884048,-0.1727819,1.9222447,6.0073514,7.513753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1.1215322,-0.6685511,-0.26735067,0.003269829,-0.51340896,-0.21752301,1.8707694,6.014534,7.2707415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
