nr,fusedX,fusedY,fusedZ,gyroX,gyroY,gyroZ,accX,accY,accZ,q,w,e,r,t,z,u,i,o,p,a,s,d,f,g,h,j,k,l,y
0,2.7940736,-0.7356883,-0.37747762,-0.20005186,0.13250238,-0.04581702,-0.07571663,0.095768064,-0.28984803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2.7915585,-0.7356619,-0.3771062,-0.22029188,0.17937402,-0.022381205,-0.15218145,0.008230069,0.14320318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.793764,-0.7302764,-0.3694764,-0.11589598,0.0632602,-0.03090332,-0.023792379,0.018555064,0.08080431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2.7961144,-0.727834,-0.3665427,-0.09885175,0.027041204,-0.039425436,0.052373163,0.02124854,-0.016460137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2.7987719,-0.7254446,-0.36227924,-0.10311733,0.104800984,-0.04794702,0.014065935,-0.0398036,-0.043993454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2.8005824,-0.7228962,-0.35561824,-0.108443655,0.10267045,-0.03303332,-0.24899697,-0.022146367,-0.030974984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2.8042734,-0.71864223,-0.35082752,-0.16596793,0.11545362,-0.03303332,0.14260463,-0.017806875,-0.13497312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2.8098302,-0.7123382,-0.33739176,-0.23627539,0.2688517,-0.07990495,0.039205052,0.07436989,-0.031423897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2.8133998,-0.70696986,-0.32765004,-0.16809846,0.1431505,-0.04368596,-0.22056583,-0.0010474633,0.28461072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2.8142598,-0.7056278,-0.3272141,-0.046658315,-0.01344337,-0.014923822,-0.10339958,-0.028880058,0.108337626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2.814544,-0.7056237,-0.32754332,0.010865963,-0.016639164,-0.005336442,0.11252748,-0.002244564,0.12075755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2.8143537,-0.706803,-0.32819867,-0.01150459,0.009992447,-0.031968053,-0.01316811,0.055216275,-0.19647418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2.8153648,-0.7063176,-0.32598162,-0.12229209,0.11119257,-0.039424904,-0.094570965,0.020201078,-0.07885902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2.8172913,-0.70225215,-0.31894615,-0.053049903,0.12077995,0.024490962,-0.17477672,-0.049230773,0.40716392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2.8181448,-0.70384514,-0.32015762,0.071586035,-0.031552866,-0.014923822,0.17582418,-0.017208325,-0.06808511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2.8206666,-0.70480514,-0.31835586,-0.07648572,0.06858199,-0.0575344,0.012270284,0.14305355,-0.36541504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2.8230395,-0.70092565,-0.31217986,-0.094595216,0.11651889,0.0042509376,-0.06494272,0.056712653,0.22041619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2.8246815,-0.70184237,-0.31330615,0.03643231,-0.01770443,-0.015989086,0.26066872,0.047135845,0.054019175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2.828854,-0.70213807,-0.309079,-0.043462522,0.06325567,-0.08310074,0.007930793,0.17971477,-0.36182374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2.8283134,-0.7024823,-0.30903673,-0.1457279,0.20280531,-0.070317574,-0.052223526,0.107140526,-0.10639234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2.8323517,-0.69821405,-0.29846174,-0.09352995,0.12610626,-0.053273343,-0.20066403,-0.13946225,0.04683657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2.8351912,-0.6962459,-0.29343966,-0.027481958,-0.017702831,-0.055404138,-0.06254852,-0.0053869537,0.011073183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2.8363993,-0.6965611,-0.29208466,-0.045591455,0.030234069,-0.04901255,-0.1189619,0.08798691,-0.09008184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2.8369465,-0.695167,-0.2890805,-0.036004074,0.043017242,-0.0010756508,-0.08424597,-0.08439561,-0.055365913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2.8376532,-0.6947044,-0.28726614,-0.06902727,0.049408827,-0.033033583,-0.047584757,0.029927522,-0.32635963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2.8398707,-0.69076484,-0.282981,-0.12761681,0.08030149,-0.011728295,-0.059705406,0.13661914,0.1074398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2.8431451,-0.68958646,-0.28196934,-0.049852513,0.029168805,-0.03409885,0.25917232,0.14649522,-0.08319851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2.8494213,-0.68756986,-0.27669814,-0.12655155,0.10906363,-0.09481892,0.207697,0.20275895,-0.2208651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2.84974,-0.6877876,-0.2767351,-0.19792427,0.16019633,-0.103341036,-0.0055365916,0.0700304,-0.0724246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2.8567698,-0.68230003,-0.26733539,-0.14146525,0.084562555,-0.11079789,0.029628245,0.007631518,0.08215105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2.8627849,-0.6794666,-0.2611578,-0.12548628,0.0014719291,-0.13636424,-0.07751228,0.07855974,-0.053869538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2.8697402,-0.6760574,-0.2562668,-0.14572631,0.10480258,-0.103341036,-0.07032967,-0.017208325,0.07182605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2.8743184,-0.67384297,-0.2484352,-0.047721982,0.10693311,-0.09375366,-0.17522563,-0.097414084,-0.20814592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2.8782003,-0.672885,-0.24344194,-0.13187787,0.041951977,-0.08203575,-0.17776948,0.0070329676,-0.38890815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2.8820677,-0.6666941,-0.2376219,-0.22881694,0.098410994,-0.0415557,-0.20679916,0.010773907,-0.28311434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2.885729,-0.65889883,-0.23191126,-0.23840432,0.100541525,-0.013858824,-0.14933833,-0.075417355,-0.010175358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2.8890467,-0.6517178,-0.22757359,-0.19898953,0.06112674,-0.026641997,-0.109834,-0.18674773,0.252289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2.8889844,-0.6511706,-0.2267271,-0.0977974,0.024900556,-0.007466438,-0.30900165,-0.14694414,0.36780924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2.8906562,-0.64797384,-0.22473277,0.0055332496,-0.03368899,0.024491495,-0.1794155,-0.033668462,0.17791912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2.891058,-0.64835405,-0.22681089,-0.0072499234,0.032357406,0.039405197,0.026485857,0.058508303,-0.033967737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2.8922067,-0.64774853,-0.22647887,-0.01364151,0.0035952674,0.0074472637,0.025887307,0.020051438,0.0067336923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2.8942075,-0.6479696,-0.22703178,2.0692761E-4,-0.01984055,0.017034644,-0.03875614,0.032022446,-0.1213561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2.8970692,-0.6470991,-0.22839755,-0.045599442,0.00892159,0.036209404,0.11462241,0.049081136,-0.13018471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2.9003952,-0.64353657,-0.22645088,-0.11164584,0.067511134,0.014904114,0.15263036,0.047135845,0.074220255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2.9029315,-0.6432771,-0.22654589,0.014055365,-0.016644757,0.0021209414,0.089184016,0.02439093,0.1448492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2.9046926,-0.64501435,-0.22885837,0.034295388,-0.059255335,0.0021209414,-0.037110128,0.11162966,-0.250643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2.9078984,-0.642165,-0.22857763,-0.104188986,0.029161613,0.01383885,0.076614454,0.04818331,-0.05192425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2.9103806,-0.64202625,-0.22863503,-0.12229848,0.113317505,-0.023445405,0.12539631,0.045938745,0.2124854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2.913506,-0.63794637,-0.22248133,-0.047729973,0.10905644,-0.013858025,-0.13871406,-0.009427169,0.3820248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
